x	ch01	ch23
1	-25254	-25255
2	-25254	-25254
3	-25252	-25254
4	-25252	-25253
5	-25251	-25252
6	-25250	-25251
7	-25249	-25251
8	-25249	-25250
9	-25248	-25249
10	-25247	-25248
11	-25246	-25248
12	-25246	-25247
13	-25244	-25246
14	-25244	-25245
15	-25243	-25244
16	-25242	-25243
17	-25241	-25242
18	-25241	-25242
19	-25240	-25242
20	-25240	-25242
21	-25240	-25241
22	-25238	-25240
23	-25238	-25239
24	-25237	-25238
25	-25236	-25237
26	-25235	-25236
27	-25234	-25236
28	-25233	-25235
29	-25232	-25234
30	-25232	-25233
31	-25232	-25233
32	-25231	-25232
33	-25230	-25231
34	-25229	-25230
35	-25228	-25230
36	-25228	-25229
37	-25227	-25228
38	-25226	-25227
39	-25225	-25226
40	-25224	-25225
41	-25223	-25224
42	-25222	-25224
43	-25222	-25224
44	-25222	-25223
45	-25220	-25222
46	-25220	-25221
47	-25219	-25220
48	-25218	-25219
49	-25217	-25219
50	-25216	-25217
51	-25216	-25217
52	-25214	-25216
53	-25213	-25214
54	-25214	-25215
55	-25212	-25214
56	-25211	-25213
57	-25211	-25212
58	-25210	-25211
59	-25209	-25210
60	-25208	-25209
61	-25208	-25209
62	-25207	-25208
63	-25205	-25207
64	-25205	-25206
65	-25204	-25206
66	-25205	-25206
67	-25204	-25205
68	-25203	-25204
69	-25202	-25203
70	-25201	-25202
71	-25200	-25202
72	-25199	-25201
73	-25199	-25200
74	-25198	-25199
75	-25197	-25198
76	-25196	-25197
77	-25195	-25197
78	-25195	-25196
79	-25195	-25196
80	-25193	-25194
81	-25192	-25193
82	-25192	-25193
83	-25191	-25192
84	-25190	-25192
85	-25189	-25191
86	-25189	-25190
87	-25188	-25189
88	-25186	-25187
89	-25186	-25187
90	-25185	-25187
91	-25185	-25186
92	-25184	-25185
93	-25183	-25184
94	-25182	-25183
95	-25182	-25182
96	-25180	-25182
97	-25179	-25181
98	-25179	-25179
99	-25178	-25179
100	-25177	-25179
101	-25177	-25178
102	-25176	-25177
103	-25175	-25176
104	-25175	-25175
105	-25174	-25175
106	-25173	-25174
107	-25172	-25173
108	-25171	-25172
109	-25171	-25171
110	-25169	-25170
111	-25169	-25169
112	-25169	-25170
113	-25168	-25170
114	-25168	-25169
115	-25167	-25168
116	-25166	-25167
117	-25165	-25166
118	-25164	-25165
119	-25163	-25164
120	-25163	-25164
121	-25162	-25163
122	-25161	-25162
123	-25160	-25161
124	-25160	-25160
125	-25159	-25160
126	-25158	-25159
127	-25157	-25158
128	-25156	-25157
129	-25155	-25157
130	-25154	-25156
131	-25154	-25155
132	-25154	-25154
133	-25152	-25153
134	-25151	-25152
135	-25150	-25153
136	-25150	-25151
137	-25149	-25150
138	-25149	-25150
139	-25148	-25148
140	-25147	-25148
141	-25146	-25147
142	-25145	-25146
143	-25145	-25145
144	-25144	-25144
145	-25143	-25144
146	-25142	-25143
147	-25141	-25143
148	-25141	-25141
149	-25140	-25141
150	-25139	-25140
151	-25138	-25139
152	-25137	-25138
153	-25136	-25137
154	-25135	-25136
155	-25135	-25136
156	-25134	-25134
157	-25133	-25134
158	-25132	-25133
159	-25132	-25133
160	-25132	-25133
161	-25131	-25132
162	-25130	-25131
163	-25129	-25130
164	-25128	-25129
165	-25128	-25129
166	-25127	-25127
167	-25126	-25127
168	-25125	-25125
169	-25124	-25125
170	-25123	-25125
171	-25123	-25124
172	-25122	-25123
173	-25121	-25122
174	-25120	-25121
175	-25119	-25121
176	-25119	-25119
177	-25117	-25119
178	-25117	-25117
179	-25116	-25117
180	-25115	-25116
181	-25114	-25115
182	-25114	-25115
183	-25113	-25114
184	-25112	-25113
185	-25112	-25112
186	-25111	-25111
187	-25110	-25111
188	-25109	-25110
189	-25108	-25109
190	-25107	-25108
191	-25106	-25107
192	-25106	-25106
193	-25105	-25106
194	-25105	-25106
195	-25104	-25105
196	-25103	-25104
197	-25102	-25103
198	-25101	-25102
199	-25101	-25101
200	-25099	-25100
201	-25099	-25100
202	-25098	-25099
203	-25097	-25097
204	-25096	-25096
205	-25095	-25098
206	-25096	-25097
207	-25096	-25096
208	-25095	-25095
209	-25093	-25095
210	-25093	-25094
211	-25092	-25093
212	-25091	-25092
213	-25090	-25091
214	-25089	-25090
215	-25088	-25089
216	-25087	-25088
217	-25087	-25088
218	-25087	-25087
219	-25085	-25087
220	-25085	-25085
221	-25084	-25085
222	-25083	-25084
223	-25082	-25083
224	-25081	-25082
225	-25080	-25082
226	-25080	-25080
227	-25079	-25080
228	-25078	-25079
229	-25078	-25079
230	-25077	-25078
231	-25076	-25077
232	-25075	-25076
233	-25074	-25075
234	-25074	-25074
235	-25073	-25073
236	-25072	-25072
237	-25071	-25072
238	-25070	-25070
239	-25069	-25070
240	-25069	-25070
241	-25068	-25070
242	-25068	-25068
243	-25067	-25067
244	-25066	-25066
245	-25065	-25066
246	-25065	-25065
247	-25063	-25064
248	-25062	-25063
249	-25062	-25062
250	-25060	-25061
251	-25059	-25061
252	-25060	-25061
253	-25059	-25060
254	-25059	-25059
255	-25057	-25059
256	-25076	-25084
257	-25074	-25083
258	-25073	-25081
259	-25072	-25081
260	-25072	-25079
261	-25070	-25078
262	-25069	-25078
263	-25068	-25078
264	-25069	-25077
265	-25068	-25076
266	-25068	-25075
267	-25066	-25074
268	-25065	-25073
269	-25065	-25072
270	-25063	-25072
271	-25063	-25071
272	-25062	-25070
273	-25061	-25069
274	-25060	-25068
275	-25060	-25068
276	-25059	-25067
277	-25059	-25066
278	-25057	-25066
279	-25056	-25065
280	-25055	-25064
281	-25055	-25063
282	-25054	-25062
283	-25053	-25061
284	-25052	-25060
285	-25051	-25059
286	-25050	-25059
287	-25050	-25059
288	-25050	-25058
289	-25049	-25057
290	-25048	-25056
291	-25047	-25055
292	-25046	-25054
293	-25045	-25053
294	-25045	-25052
295	-25044	-25052
296	-25043	-25050
297	-25042	-25050
298	-25041	-25051
299	-25041	-25050
300	-25041	-25049
301	-25040	-25048
302	-25039	-25047
303	-25038	-25046
304	-25038	-25046
305	-25037	-25045
306	-25036	-25044
307	-25035	-25043
308	-25034	-25042
309	-25033	-25041
310	-25033	-25041
311	-25032	-25040
312	-25031	-25040
313	-25031	-25039
314	-25029	-25038
315	-25028	-25037
316	-25029	-25036
317	-25027	-25035
318	-25026	-25035
319	-25025	-25033
320	-25025	-25033
321	-25024	-25033
322	-25024	-25031
323	-25023	-25031
324	-25022	-25030
325	-25021	-25029
326	-25020	-25029
327	-25019	-25027
328	-25018	-25027
329	-25018	-25026
330	-25017	-25025
331	-25016	-25024
332	-25015	-25022
333	-25014	-25023
334	-25014	-25022
335	-25013	-25021
336	-25013	-25020
337	-25011	-25020
338	-25011	-25019
339	-25010	-25018
340	-25009	-25017
341	-25008	-25016
342	-25008	-25015
343	-25006	-25014
344	-25005	-25014
345	-25006	-25014
346	-25005	-25013
347	-25004	-25013
348	-25003	-25011
349	-25003	-25011
350	-25001	-25010
351	-25001	-25009
352	-25000	-25009
353	-24999	-25007
354	-24998	-25006
355	-24997	-25006
356	-24996	-25005
357	-24996	-25004
358	-24996	-25003
359	-24995	-25003
360	-24994	-25002
361	-24993	-25001
362	-24992	-25000
363	-24991	-24999
364	-24991	-24999
365	-24990	-24997
366	-24988	-24996
367	-24988	-24996
368	-24988	-24996
369	-24987	-24995
370	-24986	-24994
371	-24985	-24993
372	-24984	-24992
373	-24983	-24991
374	-24983	-24991
375	-24982	-24990
376	-24981	-24989
377	-24980	-24988
378	-24979	-24987
379	-24978	-24986
380	-24979	-24986
381	-24977	-24986
382	-24977	-24985
383	-24976	-24984
384	-24975	-24983
385	-24974	-24982
386	-24973	-24981
387	-24972	-24981
388	-24972	-24980
389	-24971	-24979
390	-24970	-24978
391	-24968	-24978
392	-24969	-24978
393	-24969	-24977
394	-24968	-24976
395	-24967	-24975
396	-24966	-24974
397	-24965	-24973
398	-24965	-24973
399	-24964	-24972
400	-24963	-24971
401	-24961	-24970
402	-24961	-24969
403	-24961	-24969
404	-24960	-24968
405	-24959	-24967
406	-24959	-24966
407	-24957	-24966
408	-24956	-24965
409	-24956	-24964
410	-24955	-24963
411	-24954	-24963
412	-24953	-24961
413	-24952	-24961
414	-24952	-24960
415	-24951	-24959
416	-24951	-24959
417	-24949	-24958
418	-24949	-24957
419	-24948	-24956
420	-24947	-24955
421	-24946	-24954
422	-24946	-24954
423	-24945	-24953
424	-24943	-24951
425	-24943	-24951
426	-24942	-24951
427	-24942	-24950
428	-24942	-24949
429	-24941	-24949
430	-24940	-24947
431	-24938	-24947
432	-24938	-24946
433	-24937	-24945
434	-24936	-24944
435	-24936	-24943
436	-24934	-24942
437	-24933	-24941
438	-24934	-24942
439	-24933	-24941
440	-24932	-24940
441	-24931	-24939
442	-24930	-24938
443	-24929	-24938
444	-24929	-24937
445	-24928	-24936
446	-24927	-24935
447	-24926	-24934
448	-24926	-24933
449	-24925	-24933
450	-24925	-24933
451	-24924	-24932
452	-24923	-24931
453	-24922	-24930
454	-24921	-24929
455	-24920	-24928
456	-24919	-24927
457	-24919	-24927
458	-24918	-24926
459	-24916	-24925
460	-24916	-24924
461	-24915	-24924
462	-24915	-24923
463	-24914	-24923
464	-24913	-24921
465	-24912	-24920
466	-24911	-24919
467	-24911	-24919
468	-24910	-24918
469	-24909	-24917
470	-24908	-24916
471	-24907	-24915
472	-24906	-24915
473	-24907	-24914
474	-24906	-24914
475	-24905	-24913
476	-24904	-24912
477	-24902	-24911
478	-24902	-24910
479	-24901	-24909
480	-24901	-24909
481	-24900	-24908
482	-24899	-24906
483	-24898	-24906
484	-24897	-24906
485	-24898	-24906
486	-24897	-24905
487	-24896	-24904
488	-24895	-24903
489	-24895	-24902
490	-24894	-24902
491	-24893	-24901
492	-24892	-24900
493	-24891	-24899
494	-24890	-24898
495	-24889	-24897
496	-24889	-24897
497	-24889	-24897
498	-24888	-24895
499	-24887	-24895
500	-24886	-24893
501	-24885	-24893
502	-24884	-24892
503	-24883	-24891
504	-24883	-24890
505	-24882	-24889
506	-24881	-24889
507	-24880	-24888
508	-24880	-24887
509	-24879	-24887
510	-24878	-24886
511	-24877	-24885
512	-24879	-24887
513	-24878	-24886
514	-24877	-24884
515	-24875	-24884
516	-24874	-24882
517	-24873	-24881
518	-24873	-24881
519	-24872	-24880
520	-24872	-24880
521	-24871	-24879
522	-24870	-24878
523	-24869	-24877
524	-24868	-24876
525	-24867	-24875
526	-24866	-24875
527	-24866	-24874
528	-24865	-24873
529	-24864	-24872
530	-24863	-24871
531	-24863	-24872
532	-24862	-24871
533	-24862	-24871
534	-24861	-24869
535	-24860	-24868
536	-24859	-24867
537	-24859	-24867
538	-24858	-24866
539	-24857	-24865
540	-24856	-24864
541	-24854	-24863
542	-24854	-24863
543	-24854	-24862
544	-24853	-24861
545	-24852	-24861
546	-24852	-24859
547	-24851	-24859
548	-24850	-24858
549	-24849	-24857
550	-24849	-24857
551	-24847	-24856
552	-24846	-24855
553	-24846	-24854
554	-24845	-24853
555	-24844	-24853
556	-24844	-24852
557	-24843	-24851
558	-24842	-24850
559	-24841	-24849
560	-24841	-24848
561	-24839	-24848
562	-24839	-24846
563	-24838	-24846
564	-24837	-24845
565	-24836	-24844
566	-24836	-24844
567	-24835	-24843
568	-24835	-24842
569	-24833	-24842
570	-24832	-24840
571	-24831	-24840
572	-24830	-24838
573	-24830	-24838
574	-24829	-24838
575	-24828	-24836
576	-24827	-24836
577	-24827	-24836
578	-24828	-24836
579	-24827	-24835
580	-24826	-24834
581	-24825	-24833
582	-24825	-24833
583	-24823	-24832
584	-24823	-24831
585	-24822	-24830
586	-24822	-24829
587	-24820	-24828
588	-24820	-24827
589	-24819	-24827
590	-24819	-24827
591	-24818	-24826
592	-24817	-24825
593	-24816	-24824
594	-24815	-24822
595	-24814	-24822
596	-24813	-24821
597	-24813	-24821
598	-24812	-24819
599	-24811	-24819
600	-24810	-24818
601	-24810	-24818
602	-24809	-24817
603	-24808	-24817
604	-24807	-24815
605	-24806	-24815
606	-24806	-24814
607	-24805	-24813
608	-24804	-24812
609	-24803	-24811
610	-24802	-24810
611	-24801	-24809
612	-24800	-24809
613	-24800	-24808
614	-24800	-24807
615	-24798	-24807
616	-24798	-24806
617	-24797	-24805
618	-24797	-24804
619	-24795	-24804
620	-24795	-24803
621	-24794	-24802
622	-24792	-24801
