x	ch0	ch1	ch2	ch3
1	32	25288	33	25292
2	34	25290	35	25292
3	33	25289	34	25292
4	34	25290	35	25291
5	34	25290	35	25293
6	34	25291	34	25292
7	34	25290	35	25292
8	34	25290	34	25292
9	34	25291	34	25292
10	34	25290	34	25291
11	34	25290	34	25292
12	34	25291	35	25292
13	34	25290	35	25292
14	34	25291	34	25292
15	34	25290	34	25292
16	34	25290	35	25291
17	34	25290	34	25292
18	34	25290	35	25292
19	34	25290	35	25291
20	34	25290	35	25291
21	34	25290	35	25291
22	34	25289	35	25291
23	34	25290	34	25291
24	34	25290	34	25291
25	34	25290	34	25291
26	34	25290	35	25291
27	34	25290	35	25291
28	34	25290	34	25291
29	34	25291	34	25293
30	33	25290	35	25292
31	33	25291	34	25292
32	34	25290	34	25292
33	34	25290	34	25292
34	34	25291	35	25292
35	34	25291	35	25293
36	34	25291	34	25292
37	34	25290	34	25292
38	34	25290	34	25292
39	34	25290	34	25291
40	34	25290	35	25292
41	34	25291	34	25292
42	34	25291	35	25292
43	34	25291	35	25292
44	34	25291	35	25291
45	34	25290	34	25291
46	33	25290	35	25292
47	34	25290	34	25293
48	33	25290	34	25292
49	34	25291	34	25292
50	34	25291	35	25292
51	34	25291	35	25292
52	33	25291	34	25292
53	33	25291	34	25292
54	33	25290	34	25292
55	34	25291	34	25293
56	34	25290	35	25292
57	34	25290	34	25292
58	34	25291	35	25293
59	33	25291	34	25292
60	33	25290	34	25292
61	34	25290	34	25292
62	34	25290	35	25291
63	34	25290	35	25292
64	34	25290	34	25292
65	34	25291	35	25292
66	34	25291	34	25292
67	34	25290	34	25292
68	33	25290	34	25291
69	34	25290	35	25292
70	34	25291	35	25292
71	34	25291	34	25292
72	34	25290	35	25292
73	34	25291	35	25292
74	34	25289	35	25292
75	34	25289	34	25292
76	33	25291	34	25293
77	34	25291	34	25293
78	34	25291	35	25293
79	34	25291	35	25293
80	34	25290	35	25293
81	34	25290	34	25292
82	34	25291	34	25293
83	34	25291	35	25293
84	33	25291	34	25292
85	34	25291	35	25293
86	34	25291	35	25293
87	34	25292	35	25293
88	34	25291	34	25292
89	34	25290	35	25292
90	34	25290	34	25292
91	34	25290	34	25292
92	34	25290	35	25292
93	34	25291	35	25293
94	34	25291	35	25292
95	34	25291	34	25292
96	34	25290	34	25292
97	33	25290	35	25292
98	34	25290	35	25291
99	34	25291	34	25293
100	34	25292	35	25293
101	34	25291	35	25293
102	34	25291	34	25292
103	34	25290	34	25292
104	34	25291	34	25293
105	33	25291	34	25293
106	34	25291	34	25293
107	34	25291	35	25292
108	34	25291	35	25292
109	34	25290	35	25292
110	34	25290	35	25293
111	34	25291	34	25293
112	34	25290	34	25292
113	33	25290	34	25292
114	34	25291	35	25292
115	34	25290	35	25292
116	34	25291	34	25292
117	34	25291	35	25292
118	34	25290	35	25292
119	34	25291	34	25292
120	34	25290	34	25292
121	33	25290	34	25292
122	34	25292	35	25293
123	34	25292	35	25293
124	34	25292	35	25292
125	34	25291	34	25293
126	34	25291	35	25292
127	33	25291	33	25292
128	34	25291	34	25293
129	34	25292	35	25293
130	34	25292	35	25293
131	34	25291	35	25293
132	34	25291	34	25292
133	34	25290	34	25293
134	33	25291	35	25293
135	34	25291	34	25292
136	34	25291	35	25293
137	34	25291	35	25292
138	34	25291	35	25292
139	34	25290	34	25293
140	33	25291	34	25292
141	34	25291	34	25292
142	34	25290	35	25293
143	34	25291	35	25293
144	34	25290	35	25292
145	34	25290	35	25293
146	34	25292	35	25293
147	34	25291	34	25293
148	34	25291	34	25292
149	34	25291	34	25293
150	33	25290	34	25293
151	34	25292	35	25293
152	34	25291	34	25293
153	34	25291	35	25293
154	34	25291	34	25293
155	34	25291	35	25292
156	33	25290	34	25292
157	33	25291	34	25293
158	34	25291	35	25293
159	34	25291	34	25292
160	34	25291	34	25293
161	34	25291	35	25292
162	34	25290	35	25292
163	34	25290	34	25292
164	34	25291	35	25293
165	33	25291	35	25293
166	34	25291	35	25293
167	34	25290	35	25292
168	34	25290	35	25294
169	33	25291	34	25293
170	34	25292	35	25293
171	33	25291	34	25293
172	34	25291	34	25293
173	34	25291	34	25293
174	34	25291	35	25294
175	34	25292	35	25293
176	34	25291	34	25293
177	33	25291	34	25292
178	33	25291	34	25294
179	34	25291	35	25293
180	34	25292	35	25293
181	34	25292	34	25293
182	34	25291	35	25293
183	34	25291	34	25293
184	34	25291	34	25292
185	33	25290	34	25292
186	34	25291	35	25293
187	34	25292	35	25293
188	34	25292	35	25293
189	34	25291	35	25293
190	34	25291	35	25293
191	34	25290	34	25292
192	33	25291	34	25294
193	34	25291	34	25293
194	34	25292	35	25293
195	34	25291	35	25293
196	33	25290	35	25293
197	34	25291	35	25293
198	34	25291	34	25293
199	33	25291	34	25292
200	34	25291	34	25293
201	33	25291	34	25293
202	34	25291	35	25292
203	34	25291	35	25293
204	34	25292	35	25292
205	34	25291	34	25292
206	33	25290	34	25292
207	34	25291	34	25293
208	34	25290	34	25292
209	34	25291	35	25293
210	34	25292	35	25294
211	34	25291	35	25293
212	34	25292	35	25292
213	34	25291	34	25292
214	34	25290	34	25292
215	33	25293	35	25295
216	33	25293	34	25295
217	34	25293	35	25294
218	34	25293	35	25295
219	34	25293	34	25294
220	34	25292	34	25294
221	34	25293	34	25295
222	34	25292	34	25294
223	34	25293	34	25294
224	34	25293	34	25295
225	34	25293	35	25294
226	34	25293	34	25294
227	34	25293	34	25294
228	33	25292	34	25293
229	34	25293	34	25294
230	34	25292	34	25294
231	34	25293	35	25294
232	34	25292	35	25295
233	34	25292	35	25294
234	34	25293	35	25294
235	34	25292	35	25293
236	34	25292	34	25294
237	33	25292	34	25294
238	34	25292	35	25295
239	34	25294	35	25294
240	34	25292	34	25294
241	34	25292	34	25293
242	34	25292	34	25294
243	34	25292	35	25294
244	34	25293	35	25295
245	33	25293	34	25295
246	34	25293	35	25295
247	34	25293	35	25294
248	34	25293	35	25294
249	34	25292	35	25293
250	34	25293	34	25294
251	34	25292	35	25294
252	34	25292	34	25293
253	34	25293	35	25294
254	34	25292	35	25294
255	34	25292	35	25293
256	130	25208	126	25213
257	129	25208	126	25212
258	129	25208	127	25212
259	130	25207	126	25212
260	129	25208	127	25211
261	130	25207	127	25213
262	130	25209	127	25214
263	130	25208	127	25213
264	130	25208	126	25212
265	129	25208	126	25212
266	129	25208	126	25212
267	129	25207	127	25214
268	130	25208	127	25213
269	130	25208	127	25213
270	130	25207	127	25213
271	130	25208	127	25212
272	130	25207	127	25212
273	129	25207	126	25213
274	130	25208	126	25213
275	130	25208	127	25213
276	130	25208	127	25213
277	130	25208	127	25212
278	130	25207	127	25213
279	130	25208	127	25212
280	130	25208	126	25213
281	129	25207	126	25212
282	129	25208	127	25212
283	130	25207	127	25212
284	130	25207	127	25212
285	130	25209	126	25213
286	130	25208	127	25213
287	130	25208	126	25212
288	129	25208	127	25213
289	130	25208	127	25213
290	130	25208	127	25213
291	130	25209	127	25214
292	130	25208	127	25213
293	130	25208	127	25212
294	130	25207	127	25212
295	129	25207	127	25212
296	130	25207	127	25213
297	130	25208	127	25212
298	130	25208	127	25212
299	130	25208	127	25213
300	129	25208	126	25212
301	129	25207	126	25212
302	130	25206	126	25213
303	130	25208	127	25212
304	130	25208	127	25213
305	130	25208	127	25213
306	130	25208	127	25213
307	130	25207	127	25212
308	129	25208	126	25213
309	129	25209	126	25213
310	130	25208	126	25213
311	129	25209	127	25213
312	130	25208	126	25213
313	130	25208	127	25213
314	130	25208	127	25213
315	130	25208	127	25213
