x	ch0	ch1	ch2	ch3
1	33	25282	33	25286
2	34	25284	35	25287
3	34	25285	35	25286
4	35	25284	35	25287
5	35	25284	35	25286
6	35	25285	35	25287
7	35	25284	35	25286
8	35	25285	35	25286
9	34	25284	35	25286
10	35	25283	35	25286
11	35	25285	35	25286
12	35	25284	36	25286
13	35	25284	35	25286
14	34	25286	35	25288
15	35	25286	35	25287
16	34	25285	35	25287
17	35	25285	35	25287
18	34	25285	35	25287
19	35	25285	35	25287
20	35	25285	35	25288
21	34	25286	36	25287
22	35	25286	35	25287
23	35	25285	35	25287
24	34	25285	35	25286
25	34	25285	35	25287
26	34	25285	35	25288
27	35	25285	35	25287
28	35	25285	36	25287
29	35	25285	36	25287
30	35	25285	35	25286
31	34	25284	35	25287
32	35	25285	35	25286
33	34	25285	35	25287
34	35	25285	35	25287
35	35	25286	36	25286
36	35	25285	36	25287
37	35	25285	35	25287
38	34	25286	35	25287
39	35	25285	35	25287
40	34	25285	35	25287
41	34	25286	35	25287
42	34	25285	35	25287
43	35	25286	35	25287
44	35	25286	35	25287
45	34	25284	35	25286
46	34	25285	35	25287
47	34	25285	35	25287
48	35	25285	35	25287
49	35	25286	35	25287
50	34	25285	36	25287
51	35	25285	35	25287
52	34	25285	35	25287
53	34	25284	35	25286
54	34	25285	35	25287
55	34	25284	35	25287
56	34	25286	36	25287
57	35	25286	35	25287
58	35	25285	36	25287
59	35	25285	35	25286
60	35	25284	35	25288
61	34	25286	35	25287
62	34	25286	35	25287
63	35	25286	35	25288
64	34	25286	35	25287
65	34	25286	35	25287
66	35	25286	35	25288
67	34	25286	35	25287
68	34	25286	35	25287
69	34	25285	35	25287
70	34	25286	35	25288
71	35	25285	35	25287
72	34	25286	36	25287
73	34	25286	35	25287
74	34	25285	35	25287
75	34	25286	35	25287
76	35	25285	35	25287
77	35	25284	35	25287
78	34	25286	35	25287
79	35	25286	36	25287
80	35	25285	36	25287
81	35	25285	35	25287
82	34	25285	35	25287
83	34	25285	35	25286
84	34	25285	35	25287
85	35	25286	36	25287
86	35	25286	36	25287
87	35	25285	35	25288
88	35	25286	35	25287
89	34	25285	35	25287
90	34	25285	35	25288
91	35	25285	36	25287
92	34	25285	35	25288
93	35	25285	35	25287
94	34	25286	35	25287
95	35	25285	35	25287
96	35	25285	35	25287
97	34	25285	35	25287
98	34	25285	34	25287
99	34	25285	35	25287
100	35	25285	35	25287
101	35	25285	35	25287
102	35	25286	36	25288
103	35	25285	35	25287
104	34	25285	35	25286
105	34	25285	35	25287
106	35	25284	35	25287
107	35	25286	35	25288
108	35	25286	35	25288
109	34	25286	36	25287
110	34	25286	35	25288
111	34	25286	35	25287
112	34	25285	35	25287
113	34	25286	35	25288
114	35	25286	35	25288
115	35	25286	36	25288
116	35	25286	35	25288
117	34	25286	36	25287
118	34	25286	35	25288
119	34	25286	35	25287
120	34	25286	35	25287
121	34	25285	35	25287
122	35	25286	35	25288
123	34	25286	36	25287
124	34	25285	35	25288
125	35	25285	35	25288
126	35	25286	35	25287
127	34	25285	35	25287
128	35	25285	35	25287
129	35	25286	35	25287
130	34	25285	35	25288
131	35	25286	36	25288
132	35	25286	35	25288
133	35	25285	35	25287
134	34	25286	35	25287
135	34	25286	35	25287
136	35	25287	36	25288
137	34	25286	36	25288
138	35	25285	35	25288
139	35	25286	35	25287
140	35	25286	35	25287
141	34	25284	35	25287
142	34	25286	35	25287
143	34	25286	35	25288
144	35	25286	35	25287
145	35	25286	36	25288
146	35	25285	35	25287
147	34	25284	35	25286
148	34	25284	34	25287
149	34	25285	34	25287
150	34	25286	35	25287
151	35	25285	35	25288
152	35	25285	35	25287
153	35	25285	35	25288
154	35	25287	35	25288
155	34	25286	35	25288
156	34	25286	35	25287
157	34	25285	35	25287
158	34	25286	35	25287
159	35	25286	35	25288
160	35	25286	35	25288
161	35	25286	35	25287
162	34	25285	35	25287
163	35	25285	35	25287
164	34	25285	35	25287
165	35	25285	35	25288
166	34	25286	35	25288
167	35	25286	35	25288
168	35	25286	35	25288
169	34	25286	35	25287
170	34	25285	35	25287
171	34	25286	35	25287
172	34	25286	35	25288
173	35	25286	35	25287
174	35	25286	35	25287
175	35	25286	35	25287
176	35	25285	35	25287
177	34	25286	35	25287
178	34	25286	35	25288
179	35	25286	35	25287
180	35	25286	36	25287
181	35	25286	35	25287
182	35	25286	35	25287
183	35	25286	35	25288
184	35	25286	35	25288
185	34	25286	35	25287
186	34	25285	35	25288
187	34	25286	35	25287
188	35	25285	35	25288
189	35	25286	35	25288
190	35	25286	35	25288
191	34	25285	35	25287
192	34	25285	35	25287
193	34	25285	35	25287
194	35	25285	35	25288
195	35	25286	35	25288
196	35	25286	35	25288
197	35	25286	35	25287
198	34	25285	35	25287
199	34	25285	35	25286
200	35	25286	35	25288
201	34	25287	35	25288
202	35	25286	35	25288
203	35	25286	35	25288
204	34	25286	35	25288
205	35	25286	35	25287
206	34	25286	35	25288
207	34	25286	35	25288
208	34	25286	35	25287
209	34	25286	36	25288
210	35	25286	35	25288
211	35	25286	36	25287
212	34	25286	35	25287
213	34	25286	35	25288
214	34	25286	35	25288
215	34	25286	35	25288
216	34	25286	35	25287
217	34	25286	35	25288
218	35	25286	35	25288
219	35	25286	35	25288
220	35	25286	35	25287
221	34	25286	35	25287
222	35	25285	35	25287
223	34	25285	35	25289
224	35	25286	35	25288
225	35	25287	35	25288
226	35	25286	35	25288
227	35	25286	35	25288
228	34	25286	35	25287
229	35	25285	35	25288
230	34	25286	35	25288
231	34	25286	35	25288
232	35	25286	35	25288
233	35	25286	35	25287
234	35	25285	36	25287
235	34	25286	35	25288
236	34	25285	35	25287
237	34	25286	35	25287
